kind,loglik
canonical,-18392.4693
permuted,-18486.5430
permuted,-18380.7893
permuted,-18353.7356
permuted,-18433.2420
permuted,-18489.0608
permuted,-18431.8023
permuted,-18460.2662
permuted,-18425.5465
permuted,-18463.4447
permuted,-18469.5013
permuted,-18451.3475
permuted,-18474.5861
permuted,-18498.2637
permuted,-18457.6658
permuted,-18468.3905
permuted,-18466.1760
permuted,-18391.5995
permuted,-18403.0087
permuted,-18441.6886
permuted,-18405.1079
permuted,-18440.4903
permuted,-18414.9936
permuted,-18380.9374
permuted,-18472.5379
permuted,-18448.1879
permuted,-18517.8711
permuted,-18436.7111
permuted,-18433.3222
permuted,-18414.1807
permuted,-18459.7367
permuted,-18423.4513
permuted,-18436.8093
permuted,-18389.7682
permuted,-18449.4896
permuted,-18403.3872
permuted,-18451.5529
permuted,-18372.5660
permuted,-18417.3370
permuted,-18385.7125
permuted,-18399.0167
permuted,-18413.2025
permuted,-18505.1471
permuted,-18453.5951
permuted,-18388.0031
permuted,-18458.0967
permuted,-18407.2236
permuted,-18416.2136
permuted,-18439.2346
permuted,-18479.1317
permuted,-18488.1791
permuted,-18369.6300
permuted,-18448.4702
permuted,-18433.2113
permuted,-18478.1319
permuted,-18426.0888
permuted,-18413.1295
permuted,-18401.4185
permuted,-18385.2053
permuted,-18506.0137
permuted,-18449.9995
permuted,-18416.8035
permuted,-18440.5110
permuted,-18429.7740
permuted,-18437.1174
permuted,-18382.4515
permuted,-18428.5807
permuted,-18460.1811
permuted,-18366.0434
permuted,-18422.6125
permuted,-18395.3302
permuted,-18383.3509
permuted,-18410.6238
permuted,-18412.7834
permuted,-18373.9953
permuted,-18506.9599
permuted,-18335.0327
permuted,-18439.4549
permuted,-18395.0749
permuted,-18459.5565
permuted,-18410.0194
permuted,-18395.3075
permuted,-18375.3193
permuted,-18399.9713
permuted,-18439.2853
permuted,-18430.1803
permuted,-18431.8739
permuted,-18451.7666
permuted,-18492.9016
permuted,-18466.4157
permuted,-18365.0147
permuted,-18441.2133
permuted,-18424.2632
permuted,-18379.2818
permuted,-18481.2847
permuted,-18439.0176
permuted,-18550.0389
permuted,-18420.5024
permuted,-18415.9035
permuted,-18437.6960
permuted,-18411.0073
permuted,-18396.0852
permuted,-18431.6514
permuted,-18419.2716
permuted,-18447.7641
permuted,-18369.0974
permuted,-18441.6508
permuted,-18385.9995
permuted,-18418.8805
permuted,-18476.0258
permuted,-18420.6447
permuted,-18480.1478
permuted,-18460.2413
permuted,-18422.7460
permuted,-18458.7453
permuted,-18365.9681
permuted,-18394.3199
permuted,-18424.1392
permuted,-18473.6584
permuted,-18446.5498
permuted,-18430.8538
permuted,-18402.0379
permuted,-18470.4047
permuted,-18427.2660
permuted,-18387.7301
permuted,-18435.7559
permuted,-18465.9501
permuted,-18414.6943
permuted,-18447.6648
permuted,-18440.6521
permuted,-18427.8399
permuted,-18395.2036
permuted,-18413.0501
permuted,-18439.2908
permuted,-18382.9694
permuted,-18403.8022
permuted,-18446.7221
permuted,-18525.2934
permuted,-18457.7042
permuted,-18527.8974
permuted,-18440.8646
permuted,-18458.3416
permuted,-18387.8418
permuted,-18399.2167
permuted,-18438.3376
permuted,-18434.2613
permuted,-18445.6840
permuted,-18391.2987
permuted,-18509.2084
permuted,-18434.3937
permuted,-18375.5200
permuted,-18467.1789
permuted,-18422.6365
permuted,-18359.3339
permuted,-18423.9262
permuted,-18438.6536
permuted,-18361.8790
permuted,-18423.8063
permuted,-18454.2426
permuted,-18439.1241
permuted,-18409.2587
permuted,-18470.4490
permuted,-18437.8178
permuted,-18433.1837
permuted,-18390.4254
permuted,-18370.4963
permuted,-18413.9293
permuted,-18457.4702
permuted,-18543.6146
permuted,-18415.4103
permuted,-18383.4447
permuted,-18415.5481
permuted,-18418.2540
permuted,-18482.2670
permuted,-18373.7456
permuted,-18411.6682
permuted,-18438.4576
permuted,-18487.4105
permuted,-18453.6372
permuted,-18550.9574
permuted,-18436.2291
permuted,-18418.1791
permuted,-18401.9722
permuted,-18422.8221
permuted,-18517.1903
permuted,-18445.1968
permuted,-18401.4424
permuted,-18457.2378
permuted,-18451.5407
permuted,-18423.0741
permuted,-18403.5917
permuted,-18372.4417
permuted,-18438.2018
permuted,-18474.3880
permuted,-18394.0388
permuted,-18488.3959
permuted,-18360.2620
permuted,-18387.0167
permuted,-18438.4717
permuted,-18426.6485
