example_id,human_passed,judge_may,judge_june
q00016,0,0,0
q00017,0,0,0
q00037,0,1,1
q00041,0,0,0
q00048,1,1,1
q00052,1,1,1
q00056,0,0,0
q00064,1,1,1
q00071,1,1,1
q00074,1,1,1
q00078,0,0,0
q00083,1,1,1
q00104,1,1,1
q00160,1,1,1
q00162,1,1,1
q00169,1,0,0
q00184,0,1,1
q00190,1,1,1
q00193,1,1,1
q00195,0,0,0
q00197,1,1,1
q00203,1,1,1
q00212,1,1,0
q00218,0,0,0
q00226,1,1,1
q00237,1,1,1
q00239,0,0,0
q00243,1,1,1
q00271,0,0,0
q00288,1,1,1
q00292,1,1,1
q00317,1,1,1
q00325,1,1,1
q00326,1,1,1
q00327,1,1,1
q00332,1,1,1
q00335,1,1,1
q00336,1,1,1
q00339,1,1,1
q00349,1,1,1
q00350,0,0,0
q00355,1,1,1
q00357,1,1,1
q00359,1,1,1
q00368,1,0,0
q00369,1,1,1
q00374,1,0,0
q00377,0,1,1
q00382,1,1,1
q00394,1,1,1
q00399,1,1,1
q00411,1,1,0
q00413,1,1,0
q00418,0,0,0
q00422,1,1,1
q00423,1,1,1
q00427,0,0,0
q00432,1,0,0
q00435,1,1,0
q00442,1,1,1
q00449,0,0,0
q00452,1,1,1
q00459,0,0,0
q00466,1,1,1
q00469,0,0,0
q00477,1,1,1
q00481,0,0,0
q00504,1,1,1
q00512,1,0,0
q00514,1,1,1
q00516,1,1,1
q00519,1,1,1
q00522,1,1,0
q00523,1,1,1
q00529,0,0,0
q00531,1,1,1
q00546,1,1,1
q00549,1,1,0
q00551,1,1,1
q00555,1,1,1
q00563,0,0,0
q00567,1,1,0
q00572,1,1,1
q00581,1,1,1
q00584,0,0,0
q00587,1,1,1
q00596,1,1,1
q00601,1,1,0
q00606,1,1,0
q00607,1,1,1
q00614,1,0,0
q00618,0,0,0
q00620,0,1,1
q00632,0,0,0
q00639,1,1,1
q00648,1,1,1
q00656,1,1,1
q00660,1,1,1
q00664,1,1,1
q00670,1,1,1
q00678,0,0,0
q00682,1,1,0
q00683,1,1,0
q00695,1,1,1
q00704,0,0,0
q00719,1,1,1
q00723,1,1,1
q00727,1,1,1
q00734,1,0,0
q00746,0,0,0
q00750,0,0,0
q00756,1,1,0
q00764,1,1,0
q00797,0,0,0
q00808,1,1,0
q00814,1,1,1
q00817,0,0,0
q00822,1,1,1
q00831,0,0,0
q00835,1,1,1
q00843,1,1,1
q00851,0,0,0
q00854,1,1,1
q00856,0,0,0
q00864,0,0,0
q00880,1,1,1
q00889,1,1,0
q00901,1,0,0
q00903,0,1,0
q00909,1,1,1
q00910,0,0,0
q00917,0,0,0
q00921,0,0,0
q00922,1,1,1
q00929,0,0,0
q00931,0,0,0
q00945,0,0,0
q00946,1,1,0
q00947,1,1,1
q00949,1,1,1
q00954,1,1,1
q00964,1,0,0
q00965,1,1,0
q00977,1,1,1
q01001,1,1,1
q01002,0,0,0
q01006,1,1,1
q01025,1,1,1
q01033,0,0,0
q01037,1,1,1
q01040,1,1,1
q01053,0,1,1
q01059,1,1,1
q01060,1,1,1
q01071,1,0,0
q01075,0,0,0
q01078,1,1,1
q01079,0,1,1
q01081,1,0,0
q01082,1,1,1
q01100,1,1,1
q01103,1,1,1
q01109,0,0,0
q01121,0,1,1
q01123,0,0,0
q01124,1,1,0
q01129,1,1,1
q01152,0,0,0
q01154,1,1,1
q01161,1,0,0
q01165,0,1,1
q01166,1,1,1
q01185,1,1,1
q01197,1,1,1
q01207,1,1,0
q01214,1,1,1
q01215,0,0,0
q01223,1,1,1
q01229,1,1,1
q01233,1,1,0
q01238,0,0,0
q01239,0,1,1
q01241,1,1,1
q01242,1,1,1
q01244,1,1,1
q01252,1,1,1
q01253,1,1,1
q01256,0,0,0
q01259,1,1,1
q01262,1,1,1
q01263,0,0,0
q01265,1,1,0
q01272,0,0,0
q01281,1,1,1
q01309,0,0,0
q01315,1,0,0
q01320,0,0,0
q01326,1,1,1
q01334,1,1,1
q01362,1,1,1
q01372,1,1,1
q01383,1,1,1
q01385,0,0,0
q01393,1,1,1
q01400,1,1,0
q01411,1,1,1
q01432,1,1,1
q01437,0,0,0
q01449,1,1,1
q01454,0,0,0
q01456,1,1,1
q01459,0,0,0
q01463,1,1,1
q01464,1,0,0
q01467,0,1,1
q01490,1,1,1
q01508,1,1,1
q01510,1,1,1
q01511,1,1,1
q01513,1,1,0
q01516,1,1,1
q01521,0,0,0
q01533,1,1,1
q01542,1,1,1
q01548,1,1,1
q01552,1,0,0
q01555,1,1,1
q01558,0,1,1
q01561,0,0,0
q01563,1,0,0
q01565,1,1,1
q01568,1,1,1
q01569,1,1,1
q01572,0,0,0
q01576,0,0,0
q01587,1,1,1
q01612,0,0,0
q01616,1,1,1
q01621,1,0,0
q01629,1,1,1
q01630,1,1,1
q01631,0,1,1
q01635,1,1,1
q01642,1,1,1
q01658,1,1,0
q01659,1,1,1
q01661,1,1,0
q01662,1,1,1
q01673,1,1,1
q01675,1,1,0
q01677,1,0,0
q01680,1,1,1
q01681,1,1,1
q01683,1,1,1
q01691,0,0,0
q01698,1,0,0
q01719,0,1,1
q01720,1,1,1
q01735,1,1,0
q01737,1,1,1
q01741,0,0,0
q01743,1,1,1
q01779,1,1,1
q01790,1,1,1
q01791,1,0,0
q01794,1,0,0
q01798,1,1,1
q01805,0,0,0
q01808,0,0,0
q01819,0,0,0
q01828,1,1,1
q01829,1,1,0
q01834,0,0,0
q01845,1,1,0
q01848,1,1,1
q01853,1,1,1
q01864,0,0,0
q01867,0,0,0
q01868,1,1,1
q01871,1,1,0
q01879,1,1,0
q01883,1,1,1
q01890,1,1,1
q01902,1,1,1
q01909,1,1,1
q01915,0,0,0
q01920,1,1,1
q01921,0,1,1
q01922,1,1,1
q01928,0,0,0
q01936,1,0,0
q01937,1,0,0
q01952,0,0,0
q01953,1,1,1
q01960,1,1,1
q01965,1,1,1
q01976,1,1,0
q01991,1,1,1
q01994,1,1,1
q01995,0,0,0
q01998,0,0,0
q01999,0,0,0
q02000,1,1,1
q02007,1,1,1
q02028,0,0,0
q02034,0,0,0
q02045,1,1,1
q02046,0,0,0
q02048,1,1,1
q02076,1,1,0
q02086,1,1,1
q02090,0,0,0
q02098,1,1,1
q02111,1,1,1
q02122,1,1,1
q02131,1,1,1
q02135,0,0,0
q02139,1,1,1
q02142,1,1,1
q02146,1,1,1
q02154,1,1,1
q02155,1,1,1
q02158,1,0,0
q02163,1,0,0
q02174,0,0,0
q02177,1,1,1
q02185,1,1,1
q02198,1,1,1
q02200,1,1,0
q02202,1,1,1
q02205,1,1,1
q02210,1,1,1
q02211,0,0,0
q02218,0,0,0
q02238,1,0,0
q02243,0,0,0
q02246,1,1,0
q02249,0,0,0
q02250,1,1,1
q02263,1,1,1
q02271,1,1,1
q02273,1,1,1
q02275,1,0,0
q02287,1,1,0
q02305,1,1,1
q02306,1,1,0
q02309,1,0,0
q02315,1,1,0
q02329,1,1,0
q02331,0,0,0
q02335,0,0,0
q02340,1,1,1
q02342,1,1,0
q02347,1,1,1
q02354,0,0,0
q02356,1,1,1
q02357,0,0,0
q02364,0,0,0
q02365,0,0,0
q02368,1,0,0
q02383,0,0,0
q02386,1,1,0
q02389,1,1,1
q02390,1,1,1
q02393,1,1,1
q02399,0,0,0
q02402,1,1,1
q02404,1,1,0
q02416,1,1,1
q02422,1,1,1
q02424,1,1,1
q02425,0,0,0
q02427,0,0,0
q02436,1,1,0
q02437,1,1,1
q02442,1,0,0
