request_id,passed
r00000,1
r00001,1
r00002,0
r00003,1
r00004,1
r00005,0
r00006,1
r00007,1
r00008,1
r00009,1
r00010,0
r00011,1
r00012,1
r00013,1
r00014,1
r00015,1
r00016,1
r00017,1
r00018,1
r00019,0
r00020,1
r00021,1
r00022,1
r00023,0
r00024,1
r00025,1
r00026,0
r00027,1
r00028,1
r00029,1
r00030,1
r00031,1
r00032,1
r00033,1
r00034,1
r00035,1
r00036,1
r00037,1
r00038,1
r00039,1
r00040,1
r00041,1
r00042,1
r00043,1
r00044,1
r00045,1
r00046,1
r00047,1
r00048,1
r00049,1
r00050,1
r00051,1
r00052,1
r00053,1
r00054,1
r00055,1
r00056,1
r00057,1
r00058,1
r00059,1
r00060,1
r00061,1
r00062,1
r00063,1
r00064,1
r00065,0
r00066,1
r00067,1
r00068,0
r00069,0
r00070,1
r00071,1
r00072,1
r00073,1
r00074,1
r00075,0
r00076,1
r00077,0
r00078,1
r00079,0
r00080,1
r00081,1
r00082,1
r00083,1
r00084,1
r00085,1
r00086,1
r00087,0
r00088,1
r00089,1
r00090,1
r00091,1
r00092,1
r00093,1
r00094,1
r00095,1
r00096,1
r00097,1
r00098,1
r00099,0
r00100,1
r00101,1
r00102,1
r00103,1
r00104,0
r00105,1
r00106,1
r00107,1
r00108,1
r00109,1
r00110,1
r00111,1
r00112,1
r00113,1
r00114,0
r00115,1
r00116,1
r00117,1
r00118,1
r00119,1
r00120,1
r00121,1
r00122,1
r00123,1
r00124,1
r00125,1
r00126,1
r00127,1
r00128,1
r00129,1
r00130,1
r00131,1
r00132,1
r00133,1
r00134,1
r00135,0
r00136,0
r00137,1
r00138,1
r00139,1
r00140,0
r00141,1
r00142,1
r00143,1
r00144,1
r00145,0
r00146,1
r00147,1
r00148,0
r00149,1
r00150,0
r00151,1
r00152,1
r00153,0
r00154,1
r00155,0
r00156,1
r00157,0
r00158,1
r00159,1
r00160,1
r00161,1
r00162,1
r00163,1
r00164,1
r00165,1
r00166,1
r00167,1
r00168,1
r00169,0
r00170,1
r00171,1
r00172,1
r00173,1
r00174,1
r00175,1
r00176,1
r00177,1
r00178,0
r00179,1
r00180,1
r00181,1
r00182,1
r00183,1
r00184,1
r00185,1
r00186,1
r00187,1
r00188,1
r00189,1
r00190,1
r00191,1
r00192,1
r00193,1
r00194,1
r00195,1
r00196,1
r00197,1
r00198,1
r00199,1
r00200,1
r00201,0
r00202,1
r00203,1
r00204,1
r00205,0
r00206,1
r00207,1
r00208,1
r00209,1
r00210,1
r00211,1
r00212,0
r00213,1
r00214,1
r00215,1
r00216,1
r00217,1
r00218,1
r00219,1
r00220,1
r00221,0
r00222,1
r00223,0
r00224,1
r00225,1
r00226,1
r00227,0
r00228,1
r00229,1
r00230,1
r00231,1
r00232,1
r00233,1
r00234,1
r00235,1
r00236,1
r00237,1
r00238,1
r00239,1
r00240,1
r00241,1
r00242,0
r00243,1
r00244,1
r00245,1
r00246,1
r00247,0
r00248,1
r00249,0
r00250,1
r00251,1
r00252,1
r00253,1
r00254,1
r00255,1
r00256,1
r00257,1
r00258,1
r00259,1
r00260,1
r00261,0
r00262,1
r00263,1
r00264,1
r00265,0
r00266,1
r00267,0
r00268,1
r00269,0
r00270,1
r00271,1
r00272,1
r00273,1
r00274,1
r00275,1
r00276,1
r00277,0
r00278,1
r00279,1
r00280,1
r00281,1
r00282,1
r00283,1
r00284,1
r00285,0
r00286,1
r00287,1
r00288,0
r00289,1
r00290,1
r00291,1
r00292,1
r00293,1
r00294,0
r00295,1
r00296,1
r00297,1
r00298,1
r00299,1
r00300,1
r00301,1
r00302,1
r00303,1
r00304,1
r00305,1
r00306,1
r00307,1
r00308,1
r00309,1
r00310,1
r00311,1
r00312,1
r00313,1
r00314,1
r00315,1
r00316,0
r00317,1
r00318,1
r00319,1
r00320,0
r00321,1
r00322,1
r00323,1
r00324,1
r00325,1
r00326,0
r00327,1
r00328,1
r00329,1
r00330,1
r00331,1
r00332,1
r00333,1
r00334,1
r00335,1
r00336,1
r00337,1
r00338,1
r00339,1
r00340,1
r00341,1
r00342,1
r00343,1
r00344,1
r00345,1
r00346,1
r00347,1
r00348,1
r00349,1
r00350,1
r00351,1
r00352,1
r00353,1
r00354,1
r00355,1
r00356,1
r00357,0
r00358,1
r00359,1
r00360,1
r00361,1
r00362,1
r00363,0
r00364,1
r00365,1
r00366,1
r00367,1
r00368,1
r00369,1
r00370,1
r00371,1
r00372,1
r00373,1
r00374,1
r00375,1
r00376,1
r00377,1
r00378,1
r00379,1
r00380,0
r00381,1
r00382,1
r00383,1
r00384,0
r00385,1
r00386,1
r00387,1
r00388,1
r00389,1
r00390,1
r00391,1
r00392,1
r00393,1
