example_id,v3_tokens,v4_tokens,v3_judge_passed,v4_judge_passed,v3_human_passed,v4_human_passed
q00000,180,162,1,1,,
q00001,59,414,0,1,,
q00002,76,179,1,0,,
q00003,229,162,1,1,,
q00004,189,220,1,0,,
q00005,78,137,0,1,,
q00006,83,269,0,1,,
q00007,123,438,1,1,,
q00008,103,294,0,1,,
q00009,89,106,1,1,,
q00010,107,85,1,0,,
q00011,61,154,1,1,,
q00012,46,185,1,1,,
q00013,102,189,0,1,,
q00014,194,101,1,1,,
q00015,67,108,1,1,,
q00016,105,193,0,0,0,0
q00017,91,192,1,1,,
q00018,60,168,1,0,,
q00019,80,131,1,1,,
q00020,175,326,0,1,,
q00021,70,169,0,1,,
q00022,24,289,0,1,,
q00023,149,126,1,1,,
q00024,133,153,1,1,,
q00025,88,178,1,1,0,0
q00026,102,157,0,1,,
q00027,127,97,1,1,,
q00028,100,181,0,1,,
q00029,102,381,1,1,,
q00030,196,173,1,1,,
q00031,70,136,0,1,0,1
q00032,150,226,1,1,,
q00033,124,138,1,0,1,1
q00034,112,148,0,0,,
q00035,79,196,1,1,,
q00036,80,201,1,0,,
q00037,184,384,0,1,,
q00038,109,499,0,1,,
q00039,91,187,1,1,,
q00040,78,168,1,1,0,1
q00041,57,221,0,1,,
q00042,117,121,1,0,,
q00043,80,211,1,1,,
q00044,53,241,1,0,,
q00045,180,150,1,1,,
q00046,89,109,0,0,0,0
q00047,60,207,0,1,,
q00048,53,429,1,1,,
q00049,90,430,1,1,1,1
q00050,71,169,1,1,,
q00051,144,112,1,0,,
q00052,106,91,1,1,,
q00053,414,213,1,1,,
q00054,54,157,0,1,0,1
q00055,174,194,1,1,1,0
q00056,217,149,1,1,,
q00057,73,215,1,1,1,1
q00058,64,232,0,1,,
q00059,120,357,1,1,,
q00060,67,107,1,1,,
q00061,125,74,1,0,,
q00062,53,168,0,0,,
q00063,278,300,1,1,,
q00064,137,141,0,0,,
q00065,77,366,0,1,,
q00066,82,147,0,0,,
q00067,63,139,1,0,,
q00068,78,260,1,1,,
q00069,182,100,1,1,,
q00070,200,217,0,1,,
q00071,139,231,1,1,,
q00072,57,250,0,1,,
q00073,156,238,1,1,,
q00074,61,194,1,1,,
q00075,69,222,1,1,,
q00076,113,475,1,1,,
q00077,250,146,1,1,,
q00078,51,171,0,0,,
q00079,85,178,1,1,1,0
q00080,121,222,0,0,,
q00081,91,141,1,1,,
q00082,135,209,1,0,,
q00083,62,392,0,1,,
q00084,155,152,1,1,,
q00085,220,215,1,1,,
q00086,96,259,1,0,,
q00087,77,424,0,1,,
q00088,93,205,0,1,,
q00089,122,300,1,1,,
q00090,134,358,1,1,,
q00091,88,245,1,1,,
q00092,72,264,1,1,,
q00093,96,307,1,0,,
q00094,80,80,1,1,,
q00095,138,175,1,1,,
q00096,198,252,1,1,,
q00097,55,142,1,1,,
q00098,141,82,1,1,,
q00099,86,148,1,1,,
q00100,92,184,0,0,,
q00101,98,315,1,1,,
q00102,111,359,1,1,,
q00103,231,186,0,1,,
q00104,95,376,1,1,,
q00105,83,156,1,1,,
q00106,102,103,1,1,,
q00107,82,231,1,1,,
q00108,78,445,1,1,,
q00109,96,377,1,1,,
q00110,71,342,1,1,,
q00111,104,272,1,1,,
q00112,61,286,0,1,,
q00113,255,186,1,1,,
q00114,183,267,0,1,,
q00115,96,182,1,1,,
q00116,170,117,1,0,,
q00117,71,173,0,0,,
q00118,114,379,0,1,,
q00119,100,443,1,1,1,1
q00120,157,141,0,1,,
q00121,122,132,0,1,,
q00122,69,422,1,1,,
q00123,123,235,0,1,,
q00124,132,404,0,1,,
q00125,173,176,1,1,,
q00126,96,79,1,1,,
q00127,188,216,0,1,,
q00128,148,476,1,1,,
q00129,88,299,1,1,,
q00130,76,97,0,0,,
q00131,76,467,0,1,,
q00132,74,191,1,1,,
q00133,128,92,1,1,,
q00134,141,102,1,1,,
q00135,64,191,1,1,,
q00136,37,151,0,0,1,0
q00137,81,240,1,1,0,1
q00138,104,296,1,0,,
q00139,138,161,1,1,,
q00140,43,162,1,1,,
q00141,105,140,1,1,1,1
q00142,222,123,1,1,,
q00143,105,284,1,1,,
q00144,70,371,0,1,,
q00145,99,218,0,1,1,1
q00146,151,274,1,1,,
q00147,211,131,1,1,,
q00148,120,163,1,1,,
q00149,109,145,0,1,,
q00150,89,147,1,1,,
q00151,46,187,0,1,,
q00152,143,154,1,1,,
q00153,64,143,0,1,,
q00154,80,268,1,1,,
q00155,175,346,0,1,,
q00156,126,314,0,1,,
q00157,220,203,1,1,,
q00158,80,217,1,1,,
q00159,63,269,0,1,,
q00160,104,228,1,1,,
q00161,71,174,1,0,,
q00162,114,161,1,1,,
q00163,53,132,1,0,,
q00164,151,179,0,0,0,0
q00165,50,340,0,1,,
q00166,95,143,0,0,,
q00167,80,337,1,1,,
q00168,83,218,0,1,,
q00169,90,287,1,1,,
q00170,80,235,0,1,,
q00171,72,146,0,1,,
q00172,43,144,0,1,0,1
q00173,129,211,0,1,,
q00174,127,146,0,1,,
q00175,124,131,1,1,,
q00176,372,241,1,0,,
q00177,83,126,0,0,,
q00178,41,129,1,1,,
q00179,91,388,1,1,,
q00180,92,231,1,1,,
q00181,140,97,1,0,0,0
q00182,153,229,0,1,0,1
q00183,115,184,1,0,,
q00184,66,128,1,0,,
q00185,102,213,0,1,,
q00186,179,184,1,1,,
q00187,67,101,1,1,,
q00188,56,295,1,1,,
q00189,95,291,0,1,,
q00190,98,161,1,1,,
q00191,106,104,1,1,,
q00192,281,144,0,1,,
q00193,137,134,1,1,,
q00194,64,229,1,1,,
q00195,87,173,1,0,,
q00196,130,215,1,1,,
q00197,67,197,1,1,,
q00198,78,192,1,1,,
q00199,114,228,1,1,,
q00200,115,432,0,1,,
q00201,79,162,1,1,,
q00202,105,184,1,1,0,1
q00203,105,200,0,1,,
q00204,87,210,1,1,1,1
q00205,77,360,1,1,,
q00206,192,188,1,1,,
q00207,120,127,0,1,,
q00208,98,159,0,1,0,1
q00209,94,235,1,1,,
q00210,155,359,0,1,,
q00211,33,504,1,1,1,1
q00212,91,216,1,1,,
q00213,174,283,1,0,,
q00214,118,154,0,1,0,1
q00215,62,207,1,1,,
q00216,84,158,0,1,,
q00217,137,89,1,1,,
q00218,85,126,1,0,,
q00219,185,273,1,1,,
q00220,144,399,1,1,,
q00221,95,313,1,1,1,0
q00222,73,404,0,1,,
q00223,85,432,1,1,1,1
q00224,80,216,0,1,,
q00225,51,529,0,1,,
q00226,187,127,1,1,,
q00227,78,187,0,1,,
q00228,76,320,0,1,,
q00229,95,203,1,1,,
q00230,110,101,0,1,0,1
q00231,94,126,1,0,,
q00232,67,190,0,1,0,1
q00233,103,181,1,0,,
q00234,141,225,1,0,1,0
q00235,62,502,0,1,,
q00236,49,285,0,1,,
q00237,63,642,1,1,,
q00238,72,144,1,1,,
q00239,54,166,0,1,0,0
q00240,156,120,1,1,1,1
q00241,81,248,1,1,,
q00242,136,124,0,1,,
q00243,84,148,1,1,,
q00244,66,437,1,1,,
q00245,59,332,1,1,,
q00246,99,284,0,1,,
q00247,119,119,1,0,,
q00248,81,324,1,1,1,0
q00249,68,274,1,0,,
q00250,160,271,1,1,,
q00251,108,324,1,1,1,1
q00252,64,332,0,1,1,0
q00253,99,242,1,1,,
q00254,154,325,0,1,0,1
q00255,153,128,1,0,,
q00256,163,165,1,0,,
q00257,149,108,1,0,,
q00258,106,153,1,1,,
q00259,133,333,1,1,,
q00260,73,131,0,1,,
q00261,35,161,1,1,,
q00262,167,82,1,0,,
q00263,60,245,0,1,,
q00264,56,147,0,0,,
q00265,180,95,1,1,,
q00266,162,229,1,1,,
q00267,62,222,1,1,,
q00268,83,257,1,1,,
q00269,180,247,1,0,0,0
q00270,85,123,1,1,,
q00271,57,75,1,0,,
q00272,38,132,0,1,,
q00273,63,230,0,1,1,1
q00274,134,183,1,1,,
q00275,99,221,0,1,,
q00276,36,371,1,1,,
q00277,66,375,0,1,,
q00278,78,125,1,1,,
q00279,159,109,0,0,,
q00280,57,93,1,1,,
q00281,74,149,0,1,,
q00282,193,124,1,1,,
q00283,135,239,0,1,,
q00284,102,175,1,1,,
q00285,132,149,1,1,,
q00286,75,188,0,1,0,1
q00287,43,456,0,0,,
q00288,48,280,1,1,,
q00289,146,185,0,1,,
q00290,114,180,1,1,,
q00291,148,199,1,1,,
q00292,245,207,1,1,,
q00293,86,255,1,1,0,1
q00294,68,497,1,1,,
q00295,96,499,1,1,,
q00296,161,165,1,1,,
q00297,142,132,1,1,,
q00298,195,199,1,0,,
q00299,79,275,1,0,,
q00300,209,310,1,1,1,1
q00301,97,170,1,0,,
q00302,170,232,0,1,,
q00303,260,279,0,1,,
q00304,132,148,1,1,,
q00305,219,89,0,0,,
q00306,82,97,0,1,0,1
q00307,73,283,1,1,,
q00308,94,264,1,1,,
q00309,68,229,1,1,,
q00310,33,127,1,1,,
q00311,69,199,1,1,,
q00312,217,203,1,1,,
q00313,53,119,0,0,,
q00314,165,188,1,1,,
q00315,310,280,0,1,,
q00316,89,182,0,1,,
q00317,58,96,0,0,,
q00318,76,125,1,0,,
q00319,263,88,1,1,,
q00320,141,196,1,1,,
q00321,63,363,1,1,,
q00322,44,156,0,1,,
q00323,73,99,1,1,,
q00324,116,160,1,1,,
q00325,104,128,0,1,,
q00326,64,145,0,1,,
q00327,186,240,0,1,,
q00328,109,152,0,0,,
q00329,47,231,1,1,,
q00330,335,138,0,1,,
q00331,116,188,1,0,,
q00332,41,130,0,1,,
q00333,110,153,0,1,,
q00334,80,122,1,0,,
q00335,156,383,1,1,1,1
q00336,105,285,1,1,,
q00337,154,149,1,0,,
q00338,62,189,1,1,,
q00339,69,212,0,1,,
q00340,47,185,1,1,,
q00341,52,409,0,1,,
q00342,103,374,1,1,,
q00343,93,160,0,0,,
q00344,153,487,0,1,,
