example_id,segment,v3_judge_passed,v4_judge_passed,v3_human_passed,v4_human_passed
q00000,billing,0,1,,
q00001,billing,1,1,1,1
q00002,account,1,0,,
q00003,billing,1,1,,
q00004,billing,0,1,,
q00005,technical,1,1,,
q00006,billing,0,1,,
q00007,billing,0,1,,
q00008,account,1,1,,
q00009,billing,1,1,1,0
q00010,technical,1,1,,
q00011,technical,1,1,,
q00012,account,1,1,1,1
q00013,technical,0,1,,
q00014,account,1,1,1,1
q00015,account,1,1,1,1
q00016,billing,1,1,,
q00017,account,1,1,0,1
q00018,technical,0,1,0,1
q00019,account,0,1,0,1
q00020,billing,0,1,0,1
q00021,account,0,1,,
q00022,technical,1,1,,
q00023,technical,0,1,,
q00024,billing,1,0,,
q00025,technical,0,1,0,0
q00026,account,1,1,1,1
q00027,account,1,1,1,1
q00028,billing,1,1,1,1
q00029,billing,0,1,,
q00030,account,1,1,1,1
q00031,billing,1,0,0,0
q00032,billing,1,1,1,0
q00033,technical,1,1,,
q00034,billing,1,1,1,1
q00035,technical,1,0,,
q00036,billing,1,1,,
q00037,account,0,1,,
q00038,billing,1,1,,
q00039,billing,0,1,1,1
q00040,account,0,1,,
q00041,billing,0,0,,
q00042,technical,1,0,,
q00043,technical,1,1,,
q00044,account,1,0,0,0
q00045,billing,1,1,,
q00046,billing,1,1,,
q00047,account,1,1,,
q00048,billing,1,0,,
q00049,account,1,1,1,1
q00050,account,1,1,1,1
q00051,technical,0,0,1,0
q00052,billing,0,1,,
q00053,billing,0,0,,
q00054,account,1,1,1,1
q00055,billing,0,0,,
q00056,technical,0,1,,
q00057,account,1,1,,
q00058,account,1,1,,
q00059,technical,0,0,,
q00060,account,1,0,,
q00061,billing,1,1,,
q00062,technical,0,1,,
q00063,billing,1,1,,
q00064,billing,1,0,,
q00065,technical,0,1,0,1
q00066,billing,0,1,,
q00067,technical,0,0,0,0
q00068,technical,1,1,1,1
q00069,billing,1,0,,
q00070,account,0,1,1,1
q00071,billing,1,1,0,1
q00072,technical,0,1,,
q00073,billing,1,1,,
q00074,technical,0,1,0,0
q00075,billing,0,0,0,0
